,car,price,body,mileage,engV,engType,registration,year,model,drive
0,Ford,15500.0,crossover,68,2.5,Gas,yes,2010,Kuga,full
1,Mercedes-Benz,20500.0,sedan,173,1.8,Gas,yes,2011,E-Class,rear
2,Mercedes-Benz,35000.0,other,135,5.5,Petrol,yes,2008,CL 550,rear
3,Mercedes-Benz,17800.0,van,162,1.8,Diesel,yes,2012,B 180,front
4,Mercedes-Benz,33000.0,vagon,91,,Other,yes,2013,E-Class,
5,Nissan,16600.0,crossover,83,2.0,Petrol,yes,2013,X-Trail,full
6,Honda,6500.0,sedan,199,2.0,Petrol,yes,2003,Accord,front
7,Renault,10500.0,vagon,185,1.5,Diesel,yes,2011,Megane,front
8,Mercedes-Benz,21500.0,sedan,146,1.8,Gas,yes,2012,E-Class,rear
9,Mercedes-Benz,22700.0,sedan,125,2.2,Diesel,yes,2010,E-Class,rear
10,Nissan,20447.154,crossover,0,1.2,Petrol,yes,2016,Qashqai,front
11,Mercedes-Benz,20400.0,sedan,190,1.8,Gas,yes,2011,E-Class,rear
12,Mercedes-Benz,22500.0,sedan,164,1.8,Gas,yes,2012,E-Class,rear
13,BMW,4700.0,sedan,200,,Petrol,yes,1996,316,rear
14,Mercedes-Benz,21500.0,sedan,159,1.8,Gas,yes,2012,E-Class,rear
15,BMW,19999.0,sedan,290,4.8,Petrol,yes,2006,750,rear
16,BMW,129222.0,sedan,2,5.0,Petrol,yes,2016,750,full
17,Mercedes-Benz,99999.0,crossover,0,3.0,Petrol,yes,2016,GLE-Class,full
18,Nissan,16600.0,crossover,83,2.0,Petrol,yes,2013,X-Trail,full
19,BMW,73900.0,sedan,57,4.4,Petrol,yes,2013,M5,rear
20,Land Rover,0.0,crossover,0,4.4,Diesel,yes,2016,Range Rover,full
21,Nissan,26033.553,crossover,0,1.6,Diesel,yes,2016,X-Trail,full
22,BMW,104999.0,crossover,2,3.0,Diesel,yes,2016,X5,full
23,BMW,66500.0,crossover,1,2.0,Diesel,yes,2016,X5,full
24,BMW,65099.0,crossover,0,2.0,Diesel,yes,2016,X5,full
25,BMW,23900.0,crossover,235,3.0,Diesel,yes,2007,X5,full
26,Mercedes-Benz,69999.0,crossover,0,2.2,Diesel,yes,2016,GLE-Class,full
27,BMW,66200.0,crossover,70,3.0,Diesel,yes,2014,X5,full
28,BMW,63000.0,crossover,0,2.0,Diesel,yes,2015,X5,full
